"gene_id","transcript_id","protein_id","seqnames","strand","exon_number","product","start_transcript","end_transcript","start_gene","end_gene","transcript_number","Chrm.ID"
"FOXG_10851","XM_018390324.1","XP_018248761.1","NC_030986.1","+","3","hypothetical protein",94434,99427,94434,99427,1,"Chromosome_1"
"FOXG_10852","XM_018390325.1","XP_018248762.1","NC_030986.1","+","7","hypothetical protein",100178,102905,100178,102905,1,"Chromosome_1"
"FOXG_10853","XM_018390326.1","XP_018248763.1","NC_030986.1","+","2","hypothetical protein",107469,108016,107469,108016,1,"Chromosome_1"
"FOXG_10854","XM_018390327.1","XP_018248764.1","NC_030986.1","-","3","hypothetical protein",108890,109431,108890,109431,1,"Chromosome_1"
"FOXG_20392","XM_018400675.1","XP_018248765.1","NC_030986.1","+","1","hypothetical protein",109627,110448,109627,110448,1,"Chromosome_1"
"FOXG_10855","XM_018390328.1","XP_018248766.1","NC_030986.1","-","3","hypothetical protein",110560,112597,110560,112597,1,"Chromosome_1"
"FOXG_10856","XM_018390329.1","XP_018248767.1","NC_030986.1","-","6","hypothetical protein",113352,114976,113352,114976,1,"Chromosome_1"
"FOXG_10857","XM_018390330.1","XP_018248768.1","NC_030986.1","-","2","hypothetical protein",117688,118704,117688,118704,1,"Chromosome_1"
"FOXG_20393","XM_018400676.1","XP_018248769.1","NC_030986.1","-","2","hypothetical protein",120423,120587,120423,120587,1,"Chromosome_1"
"FOXG_10858","XM_018390331.1","XP_018248770.1","NC_030986.1","+","1","hypothetical protein",123588,124541,123588,124541,1,"Chromosome_1"
"FOXG_20394","XM_018400677.1","XP_018248771.1","NC_030986.1","-","3","hypothetical protein",125576,126399,125576,126399,1,"Chromosome_1"
"FOXG_10860","XM_018390332.1","XP_018248772.1","NC_030986.1","-","5","hypothetical protein",127839,132535,127839,132535,1,"Chromosome_1"
"FOXG_10861","XM_018390333.1","XP_018248773.1","NC_030986.1","+","4","hypothetical protein",132861,135176,132861,135176,1,"Chromosome_1"
"FOXG_10862","XM_018390334.1","XP_018248774.1","NC_030986.1","+","1","hypothetical protein",135586,137314,135586,137314,1,"Chromosome_1"
"FOXG_10863","XM_018390335.1","XP_018248775.1","NC_030986.1","-","4","hypothetical protein",137400,139146,137400,139146,2,"Chromosome_1"
"FOXG_10863","XM_018390336.1","XP_018248776.1","NC_030986.1","-","3","hypothetical protein",137400,139146,137400,139146,2,"Chromosome_1"
"FOXG_10864","XM_018390337.1","XP_018248777.1","NC_030986.1","+","3","hypothetical protein",141795,142529,141795,142529,1,"Chromosome_1"
"FOXG_10865","XM_018390338.1","XP_018248778.1","NC_030986.1","+","2","hypothetical protein",143063,144256,143063,144256,1,"Chromosome_1"
"FOXG_10866","XM_018390339.1","XP_018248779.1","NC_030986.1","-","7","hypothetical protein",144437,147648,144437,147648,1,"Chromosome_1"
"FOXG_10867","XM_018390341.1","XP_018248781.1","NC_030986.1","-","3","hypothetical protein",148359,149878,148359,149878,2,"Chromosome_1"
"FOXG_10867","XM_018390340.1","XP_018248780.1","NC_030986.1","-","2","hypothetical protein",148359,149878,148359,149878,2,"Chromosome_1"
"FOXG_10868","XM_018390342.1","XP_018248782.1","NC_030986.1","-","1","hypothetical protein",150175,151110,150175,151110,1,"Chromosome_1"
"FOXG_10869","XM_018390343.1","XP_018248783.1","NC_030986.1","+","3","hypothetical protein",151252,153488,151252,153488,1,"Chromosome_1"
"FOXG_10870","XM_018390344.1","XP_018248784.1","NC_030986.1","+","3","hypothetical protein",171796,172486,171796,172486,1,"Chromosome_1"
"FOXG_20396","XM_018400678.1","XP_018248785.1","NC_030986.1","+","2","hypothetical protein",173851,174467,173851,174467,1,"Chromosome_1"
"FOXG_10871","XM_018390345.1","XP_018248786.1","NC_030986.1","+","1","D-aminopeptidase",176992,178483,176992,178483,1,"Chromosome_1"
"FOXG_10872","XM_018390346.1","XP_018248787.1","NC_030986.1","-","3","hypothetical protein",179607,181472,179607,181472,1,"Chromosome_1"
"FOXG_20397","XM_018400679.1","XP_018248788.1","NC_030986.1","-","2","hydroxyneurosporene synthase (CrtC)",183578,184547,183578,184547,1,"Chromosome_1"
"FOXG_10874","XM_018390347.1","XP_018248789.1","NC_030986.1","+","4","hypothetical protein",185988,187229,185988,187229,1,"Chromosome_1"
"FOXG_10875","XM_018390348.1","XP_018248790.1","NC_030986.1","+","4","hypothetical protein",190287,192171,190287,192171,1,"Chromosome_1"
"FOXG_10876","XM_018390349.1","XP_018248791.1","NC_030986.1","+","3","hypothetical protein",195683,198000,195683,198000,1,"Chromosome_1"
"FOXG_10877","XM_018390350.1","XP_018248792.1","NC_030986.1","-","5","hypothetical protein",197911,201016,197911,201016,1,"Chromosome_1"
"FOXG_20398","XM_018400680.1","XP_018248793.1","NC_030986.1","-","1","hypothetical protein",201073,201546,201073,201546,1,"Chromosome_1"
"FOXG_20399","XM_018400681.1","XP_018248794.1","NC_030986.1","+","2","hypothetical protein",201651,201850,201651,201850,1,"Chromosome_1"
"FOXG_10878","XM_018390351.1","XP_018248795.1","NC_030986.1","+","1","hypothetical protein",201896,203214,201896,203214,1,"Chromosome_1"
"FOXG_10879","XM_018390352.1","XP_018248796.1","NC_030986.1","+","2","hypothetical protein",203475,204409,203475,204409,1,"Chromosome_1"
"FOXG_10880","XM_018390353.1","XP_018248797.1","NC_030986.1","-","4","hypothetical protein",204384,206240,204384,206240,1,"Chromosome_1"
"FOXG_10881","XM_018390354.1","XP_018248798.1","NC_030986.1","-","3","hypothetical protein",206898,209728,206898,209728,1,"Chromosome_1"
"FOXG_10882","XM_018390355.1","XP_018248799.1","NC_030986.1","+","4","hypothetical protein",211710,212468,211710,212468,1,"Chromosome_1"
"FOXG_10883","XM_018390356.1","XP_018248800.1","NC_030986.1","+","9","hypothetical protein",214309,216153,214309,216153,1,"Chromosome_1"
"FOXG_10884","XM_018390358.1","XP_018248802.1","NC_030986.1","+","5","acetyl-coenzyme A synthetase",216932,220296,216932,220296,2,"Chromosome_1"
"FOXG_10884","XM_018390357.1","XP_018248801.1","NC_030986.1","+","6","acetyl-coenzyme A synthetase",216932,220296,216932,220296,2,"Chromosome_1"
"FOXG_10885","XM_018390359.1","XP_018248803.1","NC_030986.1","-","3","hypothetical protein",220301,221629,220301,221629,1,"Chromosome_1"
"FOXG_10886","XM_018390360.1","XP_018248804.1","NC_030986.1","-","2","hypothetical protein",221757,223383,221757,223383,1,"Chromosome_1"
"FOXG_10887","XM_018390361.1","XP_018248805.1","NC_030986.1","-","5","beta-lactamase",223886,225665,223886,225665,1,"Chromosome_1"
"FOXG_10888","XM_018390362.1","XP_018248806.1","NC_030986.1","+","1","hypothetical protein",225818,226387,225818,226387,1,"Chromosome_1"
"FOXG_10889","XM_018390363.1","XP_018248807.1","NC_030986.1","-","3","acetyltransferase",226403,227536,226403,227536,1,"Chromosome_1"
"FOXG_10890","XM_018390364.1","XP_018248808.1","NC_030986.1","+","7","hypothetical protein",227675,230100,227675,230100,1,"Chromosome_1"
"FOXG_10891","XM_018390365.1","XP_018248809.1","NC_030986.1","-","5","hypothetical protein",230396,232349,230396,232349,1,"Chromosome_1"
"FOXG_10892","XM_018390366.1","XP_018248810.1","NC_030986.1","+","3","hypothetical protein",232571,233790,232571,233790,1,"Chromosome_1"
"FOXG_20400","XM_018400682.1","XP_018248811.1","NC_030986.1","+","4","hypothetical protein",234075,236438,234075,236438,1,"Chromosome_1"
"FOXG_10895","XM_018390367.1","XP_018248812.1","NC_030986.1","+","2","hypothetical protein",237215,238181,237215,238181,1,"Chromosome_1"
"FOXG_10896","XM_018390368.1","XP_018248813.1","NC_030986.1","+","5","hypothetical protein",238993,240277,238993,240277,1,"Chromosome_1"
"FOXG_10897","XM_018390369.1","XP_018248814.1","NC_030986.1","-","1","hypothetical protein",240568,240768,240568,240768,1,"Chromosome_1"
"FOXG_20401","XM_018400683.1","XP_018248815.1","NC_030986.1","-","2","hypothetical protein",243351,245119,243351,245119,1,"Chromosome_1"
"FOXG_10900","XM_018390370.1","XP_018248816.1","NC_030986.1","-","4","hypothetical protein",246740,248123,246740,248123,1,"Chromosome_1"
"FOXG_10901","XM_018390371.1","XP_018248817.1","NC_030986.1","+","4","hypothetical protein",248785,250484,248785,250484,1,"Chromosome_1"
"FOXG_10902","XM_018390372.1","XP_018248818.1","NC_030986.1","-","4","glutamine synthetase",251031,252768,251031,252768,1,"Chromosome_1"
"FOXG_10903","XM_018390373.1","XP_018248819.1","NC_030986.1","-","4","NAD-dependent aldehyde dehydrogenase",253750,255790,253750,255790,1,"Chromosome_1"
"FOXG_10904","XM_018390374.1","XP_018248820.1","NC_030986.1","+","5","hypothetical protein",255885,257140,255885,257140,1,"Chromosome_1"
"FOXG_10905","XM_018390375.1","XP_018248821.1","NC_030986.1","-","2","hypothetical protein",257162,258350,257162,258350,1,"Chromosome_1"
"FOXG_20402","XM_018400684.1","XP_018248822.1","NC_030986.1","-","1","hypothetical protein",258467,259042,258467,259042,1,"Chromosome_1"
"FOXG_10906","XM_018390376.1","XP_018248823.1","NC_030986.1","-","8","hypothetical protein",259286,261168,259286,261168,1,"Chromosome_1"
"FOXG_10907","XM_018390377.1","XP_018248824.1","NC_030986.1","+","3","hypothetical protein",261675,262200,261675,262200,1,"Chromosome_1"
"FOXG_10908","XM_018390378.1","XP_018248825.1","NC_030986.1","-","3","hypothetical protein",262800,264450,262800,264450,1,"Chromosome_1"
"FOXG_10909","XM_018390379.1","XP_018248826.1","NC_030986.1","-","4","hypothetical protein",264583,266331,264583,266331,1,"Chromosome_1"
"FOXG_10910","XM_018390380.1","XP_018248827.1","NC_030986.1","-","2","hypothetical protein",267197,269143,267197,269143,1,"Chromosome_1"
"FOXG_10911","XM_018390381.1","XP_018248828.1","NC_030986.1","-","2","hypothetical protein",269921,271278,269921,271278,1,"Chromosome_1"
"FOXG_10912","XM_018390382.1","XP_018248829.1","NC_030986.1","-","3","hypothetical protein",272102,273341,272102,273341,1,"Chromosome_1"
"FOXG_10913","XM_018390383.1","XP_018248830.1","NC_030986.1","+","8","hypothetical protein",274120,276055,274120,276055,1,"Chromosome_1"
"FOXG_10914","XM_018390384.1","XP_018248831.1","NC_030986.1","-","4","succinate-semialdehyde dehydrogenase",276697,278350,276697,278350,1,"Chromosome_1"
"FOXG_10915","XM_018390385.1","XP_018248832.1","NC_030986.1","-","3","hypothetical protein",278999,280579,278999,280579,1,"Chromosome_1"
"FOXG_10916","XM_018390386.1","XP_018248833.1","NC_030986.1","+","6","hypothetical protein",281496,283376,281496,283376,1,"Chromosome_1"
"FOXG_20403","XM_018400685.1","XP_018248834.1","NC_030986.1","-","1","hypothetical protein",283915,284820,283915,284820,1,"Chromosome_1"
"FOXG_10917","XM_018390387.1","XP_018248835.1","NC_030986.1","+","3","4-carboxymuconolactone decarboxylase",285366,285959,285366,285959,1,"Chromosome_1"
"FOXG_20404","XM_018400686.1","XP_018248836.1","NC_030986.1","-","1","hypothetical protein",286615,286710,286615,286710,1,"Chromosome_1"
"FOXG_10918","XM_018390388.1","XP_018248837.1","NC_030986.1","+","2","hypothetical protein",286767,288066,286767,288066,1,"Chromosome_1"
"FOXG_10919","XM_018390390.1","XP_018248839.1","NC_030986.1","+","3","hypothetical protein",288173,291421,288173,291421,2,"Chromosome_1"
"FOXG_10919","XM_018390389.1","XP_018248838.1","NC_030986.1","+","3","hypothetical protein",288242,291421,288173,291421,2,"Chromosome_1"
"FOXG_10920","XM_018390391.1","XP_018248840.1","NC_030986.1","-","1","hypothetical protein",293056,294275,293056,294275,1,"Chromosome_1"
"FOXG_10921","XM_018390392.1","XP_018248841.1","NC_030986.1","-","2","hypothetical protein",295627,296765,295627,296765,1,"Chromosome_1"
"FOXG_10922","XM_018390393.1","XP_018248842.1","NC_030986.1","-","3","hypothetical protein",298241,299509,298241,299509,1,"Chromosome_1"
"FOXG_10923","XM_018390394.1","XP_018248843.1","NC_030986.1","+","4","hypothetical protein",298701,301474,298701,301474,1,"Chromosome_1"
"FOXG_10924","XM_018390395.1","XP_018248844.1","NC_030986.1","-","4","hypothetical protein",301156,303836,301156,303836,1,"Chromosome_1"
"FOXG_10925","XM_018390396.1","XP_018248845.1","NC_030986.1","-","5","hypothetical protein",304376,306131,304376,306131,1,"Chromosome_1"
"FOXG_10926","XM_018390397.1","XP_018248846.1","NC_030986.1","+","3","methylisocitrate lyase",306531,307767,306531,307767,1,"Chromosome_1"
"FOXG_20405","XM_018400687.1","XP_018248847.1","NC_030986.1","-","2","hypothetical protein",307759,309079,307759,309079,1,"Chromosome_1"
"FOXG_10927","XM_018390398.1","XP_018248848.1","NC_030986.1","+","6","hypothetical protein",309208,310719,309208,310719,1,"Chromosome_1"
"FOXG_10928","XM_018390399.1","XP_018248849.1","NC_030986.1","+","3","hypothetical protein",311187,313474,311187,313474,1,"Chromosome_1"
"FOXG_10929","XM_018390400.1","XP_018248850.1","NC_030986.1","+","2","hypothetical protein",314365,316810,314365,316810,1,"Chromosome_1"
"FOXG_10930","XM_018390402.1","XP_018248852.1","NC_030986.1","-","3","hypothetical protein",315537,318152,315537,318152,2,"Chromosome_1"
"FOXG_10930","XM_018390401.1","XP_018248851.1","NC_030986.1","-","2","hypothetical protein",315537,318152,315537,318152,2,"Chromosome_1"
"FOXG_10931","XM_018390403.1","XP_018248853.1","NC_030986.1","+","5","hypothetical protein",318567,320411,318567,320411,1,"Chromosome_1"
"FOXG_10932","XM_018390404.1","XP_018248854.1","NC_030986.1","-","3","hypothetical protein",320408,328256,320408,328256,1,"Chromosome_1"
"FOXG_10933","XM_018390405.1","XP_018248855.1","NC_030986.1","+","2","hypothetical protein",329413,330224,329413,330224,1,"Chromosome_1"
"FOXG_10934","XM_018390406.1","XP_018248856.1","NC_030986.1","-","1","hypothetical protein",331055,332313,331055,332313,1,"Chromosome_1"
"FOXG_10935","XM_018390407.1","XP_018248857.1","NC_030986.1","+","4","hypothetical protein",332849,335088,332849,335088,1,"Chromosome_1"
"FOXG_20407","XM_018400689.1","XP_018248859.1","NC_030986.1","+","3","hypothetical protein",337064,340338,337064,340338,2,"Chromosome_1"
"FOXG_20407","XM_018400688.1","XP_018248858.1","NC_030986.1","+","4","hypothetical protein",337064,340338,337064,340338,2,"Chromosome_1"
"FOXG_10938","XM_018390408.1","XP_018248860.1","NC_030986.1","-","3","hypothetical protein",340478,342261,340478,342261,1,"Chromosome_1"
"FOXG_10939","XM_018390409.1","XP_018248861.1","NC_030986.1","+","1","alpha-galactosidase",343056,345197,343056,345197,1,"Chromosome_1"
"FOXG_10940","XM_018390410.1","XP_018248862.1","NC_030986.1","+","2","hypothetical protein",345744,347414,345744,347414,1,"Chromosome_1"
"FOXG_20408","XM_018400690.1","XP_018248863.1","NC_030986.1","+","4","hypothetical protein",348508,349609,348508,349609,1,"Chromosome_1"
"FOXG_10941","XM_018390411.1","XP_018248864.1","NC_030986.1","-","1","shikimate-5-dehydrogenase",349721,350803,349721,350803,1,"Chromosome_1"
"FOXG_10942","XM_018390412.1","XP_018248865.1","NC_030986.1","-","1","hypothetical protein",351307,353556,351307,353556,1,"Chromosome_1"
"FOXG_10943","XM_018390413.1","XP_018248866.1","NC_030986.1","+","3","hypothetical protein",353679,357932,353679,357932,1,"Chromosome_1"
"FOXG_10944","XM_018390414.1","XP_018248867.1","NC_030986.1","-","1","shikimate dehydrogenase",357943,359016,357943,359016,1,"Chromosome_1"
"FOXG_10945","XM_018390415.1","XP_018248868.1","NC_030986.1","+","1","hypothetical protein",360069,361324,360069,361324,1,"Chromosome_1"
"FOXG_10946","XM_018390416.1","XP_018248869.1","NC_030986.1","-","1","hypothetical protein",361601,362954,361601,362954,1,"Chromosome_1"
"FOXG_20409","XM_018400691.1","XP_018248870.1","NC_030986.1","+","2","hypothetical protein",363781,364046,363781,364046,1,"Chromosome_1"
"FOXG_10947","XM_018390417.1","XP_018248871.1","NC_030986.1","+","2","hypothetical protein",364813,366224,364813,366224,1,"Chromosome_1"
"FOXG_20410","XM_018400692.1","XP_018248872.1","NC_030986.1","+","2","hypothetical protein",367212,368150,367212,368150,1,"Chromosome_1"
"FOXG_10948","XM_018390418.1","XP_018248873.1","NC_030986.1","+","2","hypothetical protein",368364,369273,368364,369273,1,"Chromosome_1"
"FOXG_10949","XM_018390419.1","XP_018248874.1","NC_030986.1","-","2","hypothetical protein",371296,372054,371296,372054,1,"Chromosome_1"
"FOXG_10950","XM_018390420.1","XP_018248875.1","NC_030986.1","+","4","hypothetical protein",373454,374362,373454,374362,1,"Chromosome_1"
"FOXG_20411","XM_018400693.1","XP_018248876.1","NC_030986.1","-","1","hypothetical protein",376455,376565,376455,376565,1,"Chromosome_1"
"FOXG_10951","XM_018390421.1","XP_018248877.1","NC_030986.1","-","1","hypothetical protein",377606,378421,377606,378421,1,"Chromosome_1"
"FOXG_10952","XM_018390422.1","XP_018248878.1","NC_030986.1","+","8","hypothetical protein",379179,381032,379179,381032,1,"Chromosome_1"
"FOXG_10953","XM_018390423.1","XP_018248879.1","NC_030986.1","-","2","hypothetical protein",381436,382829,381436,382829,1,"Chromosome_1"
"FOXG_20412","XM_018400694.1","XP_018248880.1","NC_030986.1","-","3","hypothetical protein",383188,385307,383188,385307,2,"Chromosome_1"
"FOXG_20412","XM_018400695.1","XP_018248881.1","NC_030986.1","-","4","hypothetical protein",383211,385291,383188,385307,2,"Chromosome_1"
"FOXG_10954","XM_018390424.1","XP_018248882.1","NC_030986.1","+","9","hypothetical protein",385623,388762,385623,388762,1,"Chromosome_1"
"FOXG_20413","XM_018400696.1","XP_018248883.1","NC_030986.1","-","1","hypothetical protein",388636,389486,388636,389486,1,"Chromosome_1"
"FOXG_10955","XM_018390425.1","XP_018248884.1","NC_030986.1","+","1","beta-lactamase",390607,391988,390607,391988,1,"Chromosome_1"
"FOXG_10956","XM_018390426.1","XP_018248885.1","NC_030986.1","+","1","hypothetical protein",393111,393491,393111,393491,1,"Chromosome_1"
"FOXG_10957","XM_018390427.1","XP_018248886.1","NC_030986.1","+","7","hypothetical protein",394195,396320,394195,396320,1,"Chromosome_1"
"FOXG_10958","XM_018390428.1","XP_018248887.1","NC_030986.1","-","1","hypothetical protein",396477,397523,396477,397523,1,"Chromosome_1"
"FOXG_10959","XM_018390429.1","XP_018248888.1","NC_030986.1","+","5","hypothetical protein",397863,400667,397863,400667,1,"Chromosome_1"
"FOXG_10960","XM_018390430.1","XP_018248889.1","NC_030986.1","-","1","hypothetical protein",402106,403317,402106,403317,1,"Chromosome_1"
"FOXG_10961","XM_018390431.1","XP_018248890.1","NC_030986.1","+","1","hypothetical protein",403713,405694,403713,405694,1,"Chromosome_1"
"FOXG_20414","XM_018400697.1","XP_018248891.1","NC_030986.1","-","4","hypothetical protein",405433,407250,405433,407250,1,"Chromosome_1"
"FOXG_20415","XM_018400698.1","XP_018248892.1","NC_030986.1","+","6","hypothetical protein",407509,409532,407509,409532,1,"Chromosome_1"
"FOXG_10964","XM_018390432.1","XP_018248893.1","NC_030986.1","-","3","hypothetical protein",409797,411900,409797,411900,1,"Chromosome_1"
"FOXG_10965","XM_018390433.1","XP_018248894.1","NC_030986.1","-","5","hypothetical protein",412851,417047,412851,417047,1,"Chromosome_1"
"FOXG_10966","XM_018390435.1","XP_018248896.1","NC_030986.1","+","4","hypothetical protein",417390,419854,417390,419854,2,"Chromosome_1"
"FOXG_10966","XM_018390434.1","XP_018248895.1","NC_030986.1","+","6","hypothetical protein",417390,419854,417390,419854,2,"Chromosome_1"
"FOXG_10967","XM_018390436.1","XP_018248897.1","NC_030986.1","+","5","hypothetical protein",419956,422607,419956,422607,3,"Chromosome_1"
"FOXG_10967","XM_018390437.1","XP_018248898.1","NC_030986.1","+","3","hypothetical protein",419956,421979,419956,422607,3,"Chromosome_1"
"FOXG_10967","XM_018390438.1","XP_018248899.1","NC_030986.1","+","4","hypothetical protein",420445,422607,419956,422607,3,"Chromosome_1"
"FOXG_10968","XM_018390439.1","XP_018248900.1","NC_030986.1","-","1","3-oxoadipate enol-lactonase",422499,424160,422499,424160,1,"Chromosome_1"
"FOXG_20416","XM_018400700.1","XP_018248902.1","NC_030986.1","+","2","hypothetical protein",424301,427152,424301,427152,2,"Chromosome_1"
"FOXG_20416","XM_018400699.1","XP_018248901.1","NC_030986.1","+","3","hypothetical protein",424301,427152,424301,427152,2,"Chromosome_1"
"FOXG_10971","XM_018390440.1","XP_018248903.1","NC_030986.1","+","4","hypothetical protein",427606,429761,427606,429761,1,"Chromosome_1"
"FOXG_10972","XM_018390441.1","XP_018248904.1","NC_030986.1","+","2","hypothetical protein",430564,433763,430564,433763,1,"Chromosome_1"
"FOXG_10973","XM_018390442.1","XP_018248905.1","NC_030986.1","-","2","hypothetical protein",433869,435368,433869,435368,1,"Chromosome_1"
"FOXG_10974","XM_018390443.1","XP_018248906.1","NC_030986.1","+","1","oxidoreductase",437332,438668,437332,438668,1,"Chromosome_1"
"FOXG_10975","XM_018390444.1","XP_018248907.1","NC_030986.1","+","1","proline racemase",439026,440089,439026,440089,1,"Chromosome_1"
"FOXG_10976","XM_018390445.1","XP_018248908.1","NC_030986.1","-","4","D-amino-acid oxidase",440363,441635,440363,441635,1,"Chromosome_1"
"FOXG_10977","XM_018390446.1","XP_018248909.1","NC_030986.1","+","1","hypothetical protein",442256,442885,442256,442885,1,"Chromosome_1"
"FOXG_20417","XM_018400701.1","XP_018248910.1","NC_030986.1","+","2","hypothetical protein",442946,443471,442946,443471,1,"Chromosome_1"
"FOXG_20418","XM_018400702.1","XP_018248911.1","NC_030986.1","-","5","hypothetical protein",443388,445401,443388,445401,1,"Chromosome_1"
"FOXG_10980","XM_018390447.1","XP_018248912.1","NC_030986.1","+","1","hypothetical protein",449281,449955,449281,449955,1,"Chromosome_1"
"FOXG_10981","XM_018390448.1","XP_018248913.1","NC_030986.1","+","2","hypothetical protein",452700,453133,452700,453133,1,"Chromosome_1"
"FOXG_10982","XM_018390449.1","XP_018248914.1","NC_030986.1","+","1","hypothetical protein",453818,454555,453818,454555,1,"Chromosome_1"
"FOXG_10983","XM_018390450.1","XP_018248915.1","NC_030986.1","-","4","hypothetical protein",454976,457224,454976,457224,2,"Chromosome_1"
"FOXG_10983","XM_018390451.1","XP_018248916.1","NC_030986.1","-","3","hypothetical protein",454976,457224,454976,457224,2,"Chromosome_1"
"FOXG_10984","XM_018390452.1","XP_018248917.1","NC_030986.1","+","1","hypothetical protein",459039,461668,459039,461668,1,"Chromosome_1"
"FOXG_20419","XM_018400703.1","XP_018248918.1","NC_030986.1","-","1","hypothetical protein",460387,460545,460387,460545,1,"Chromosome_1"
"FOXG_10985","XM_018390453.1","XP_018248919.1","NC_030986.1","-","4","hypothetical protein",461194,463248,461194,463248,1,"Chromosome_1"
